simulation_id,winner_name,total_steps,final_civs,winner_resources,winner_tech,winner_weapon_investment,winner_search_investment,winner_camo_investment,winner_survival_drive,winner_known_civs,total_interactions,total_attacks,total_cooperations,avg_resource_pressure,max_resource_pressure
89,Sol,343,1,569.5597529986483,9295.890657502952,304.11475980291107,1584.6724237590442,13.647346245089249,0.7,1,0,0,0,0.0020613481946107418,0.012204148056585033
90,Alpha Centauri,284,1,5840.666456522972,131803.5671360842,5462.984119063023,927.3677590066912,9.438498234242104,0.7,2,0,0,0,0.012391867391617947,0.09248652275816208
91,Epsilon Eridani,260,1,402.2439079848013,5947.900598775874,253.26189455642574,1354.4738728321884,9.994502120411003,0.7,1,0,0,0,0.0017688723770848134,0.009256230948884172
92,Proxima B,311,1,1681.0441285192362,31536.69301166992,1312.465535402633,1456.242028975428,8.032421750917072,0.7,2,0,0,0,0.0029909562780606382,0.03149435660658432
93,Proxima B,243,1,24.659259841712295,393.71061963521845,73.73753976914138,470.45665847739104,4.018627599484649,0.7,1,0,0,0,0.0006528283658871904,0.008
94,,323,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.008097670613168495,0.07627274666831037
95,,251,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0025066088906602365,0.021995897494052136
96,Tau Ceti,224,1,1560.7604443066627,37764.24658374897,1512.593622839412,1147.8778024085186,17.82192838750418,0.7,2,0,0,0,0.0036649751345670155,0.030270095875791464
97,Tau Ceti,253,1,336.4349292258669,4631.062933809595,214.1143866702537,926.8795887072439,7.685372546588285,0.7,3,0,0,0,0.0013168007687600102,0.008586271828736133
98,Gliese 667,208,1,39.42867837973559,689.3426308111126,72.92862412557568,405.2421478548989,3.074156143279775,0.7,1,0,0,0,0.0006239707876448819,0.008
99,Proxima B,275,1,717.4644442022029,15393.50830236121,536.5435786083739,1553.1048367965452,17.649362376694587,0.7,3,0,0,0,0.0018480291320002802,0.013241460153260123
